"YEAR","MONTH","PRDCTN29","SHPMNT29","INVTRY29","PRDCTN","SHPMNT","INVTRY"
1929,1,13525.8,,12884.3,13591.5,,12946.9
1929,2,13429,13248.3,13065,13499.4,13317.8,13133.5
1929,3,13630.5,13794.3,12901.2,13770.8,13936.3,13034
1929,4,13763.7,13676.4,12988.5,13904.2,13816,13121
1929,5,13902.4,13620.7,13270.2,13980.6,13697.4,13344.9
1929,6,14096.8,14197.8,13169.2,14244.9,14347,13307.6
1929,7,14187.1,13982.3,13374,14327.7,14120.9,13506.6
1929,8,14047.6,13846.6,13575,14054,13853,13581.2
1929,9,13827,13572.6,13829.4,13777.8,13524.3,13780.2
1929,10,13811.7,13704,13937,13656.3,13549.9,13780.2
1929,11,13218.5,12966.6,14188.9,12942,12695.3,13892.1
1929,12,13584.8,13770.5,14003.2,13501.2,13685.8,13917
1930,1,12576.7,12347.2,14232.7,12319.7,12094.9,13941.9
1930,2,12479.1,12553.7,14158.2,12197,12269.8,13838
1930,3,12197.5,12068.8,14286.9,11821.1,11696.3,13846
1930,4,12151.1,12192.8,14245.3,11722.3,11762.4,13742.5
1930,5,11807.6,11754.4,14298.5,11334.6,11283.5,13725.7
1930,6,11390,11130,14558.6,10725.2,10480.3,13708.8
1930,7,10899.1,10517.6,14940.1,9961.6,9612.9,13655.1
1930,8,10556.5,10416.5,15080.1,9538.5,9412,13625.9
1930,9,10457.3,10687.2,14850.2,9454.1,9662,13425.6
1930,10,10216.2,10474,14592.3,9157.1,9388.2,13079.6
1930,11,9994.4,9988.9,14597.8,8844,8839.1,12917.5
1930,12,9883.9,11226.1,13255.6,9140.1,10381.3,12258
1931,1,9773.5,9157,13872.1,8482.3,7947.2,12039.3
1931,2,9881.4,10038.6,13715,8486.8,8621.7,11779.3
1931,3,9900.9,10018.8,13597.1,8406.3,8506.4,11544.5
1931,4,9867.2,10010.7,13453.6,8224.9,8344.5,11214.3
1931,5,9704.1,9582.5,13575.2,7962.1,7862.3,11138.2
1931,6,9327.3,9273.2,13629.3,7554.2,7510.3,11038.4
1931,7,9312.4,9395.6,13546.2,7478.9,7545.7,10879.1
1931,8,8935.5,9070.8,13410.8,7142.9,7251.1,10720.4
1931,9,8579.6,8642.9,13347.6,6797,6847.1,10574.3
1931,10,8304,8517.8,13133.8,6548.6,6717.3,10357.5
1931,11,8204.4,8350.6,12987.6,6451.5,6566.5,10212.8
1931,12,8111.5,8946.8,12152.3,6578.7,7256.2,9856
